City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Cidreira,BR,2022-07-19 00:00:45,-30.1811,-50.2056,56.32,93,0,3.53
195,Carnarvon,AU,2022-07-18 23:58:24,-24.8667,113.6333,60.85,64,0,12.24
196,Corinto,GR,2022-07-19 00:00:45,37.9407,22.9573,78.42,56,0,5.75
197,Sao Filipe,CV,2022-07-19 00:00:46,14.8961,-24.4956,76.5,80,17,9.28
198,Purpe,RU,2022-07-19 00:00:46,64.4803,76.6897,60.49,58,92,11.95
199,Port Macquarie,AU,2022-07-19 00:00:47,-31.4333,152.9167,55.89,65,30,11.74
200,San Rafael,AR,2022-07-18 23:58:08,-34.6177,-68.3301,44.01,38,49,5.23
201,Lompoc,US,2022-07-19 00:00:47,34.6391,-120.4579,82.85,60,27,7.0
202,Kassala,SD,2022-07-19 00:00:47,15.451,36.4,79.72,67,69,19.1
203,Amahai,ID,2022-07-19 00:00:48,-3.3333,128.9167,78.33,86,67,0.87
204,Layou,VC,2022-07-19 00:00:49,13.2,-61.2667,77.86,80,42,13.6
205,Nioro,GM,2022-07-19 00:00:49,13.35,-15.75,79.27,79,100,6.51
206,Abu Dhabi,AE,2022-07-18 23:56:25,24.4667,54.3667,96.91,57,0,2.3
207,Mayo,US,2022-07-19 00:00:49,38.8876,-76.5119,83.66,86,75,6.78
208,Buin,CL,2022-07-18 23:59:14,-33.7333,-70.75,57.43,66,93,2.77
209,Saint-Philippe,RE,2022-07-19 00:00:50,-21.3585,55.7679,67.59,79,59,16.91
210,Boyolangu,ID,2022-07-19 00:00:50,-8.1181,111.8935,75.7,87,88,2.3
211,Kungurtug,RU,2022-07-19 00:00:26,50.5994,97.5228,49.06,95,100,4.29
212,Maningrida,AU,2022-07-19 00:00:51,-12.0667,134.2667,76.17,58,100,10.8
213,Wattegama,LK,2022-07-19 00:00:51,6.7989,81.4808,74.79,87,71,1.57
214,Thompson,CA,2022-07-19 00:00:52,55.7435,-97.8558,83.03,27,30,4.52
215,Amursk,RU,2022-07-19 00:00:52,50.2261,136.8994,57.81,97,100,6.85
216,Tonantins,BR,2022-07-19 00:00:53,-2.8731,-67.8022,75.34,93,80,2.17
217,Tabory,RU,2022-07-19 00:00:53,58.5198,64.5495,63.01,84,96,2.15
218,Okato,NZ,2022-07-19 00:00:54,-39.2,173.8833,59.18,81,81,21.99
