City_ID,City,Country,Max Temp,Weather Descritption,Lat,Lng,Hotel Name
504,Meulaboh,ID,75.67,overcast clouds,4.1363,96.1285,Kost Pria
505,North Bend,US,70.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
506,Nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
507,Douglas,US,89.47,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
508,Wewak,PG,76.8,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
510,Bairiki,KI,80.85,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
511,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
512,Malkangiri,IN,76.91,overcast clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
513,Ugoofaaru,MV,80.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
515,Sept-Iles,CA,78.06,broken clouds,50.2001,-66.3821,Comfort Inn
517,Suba,PH,83.1,light rain,10.8438,121.0102,Jarnchi Pension House
524,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
525,Moerai,PF,71.58,overcast clouds,-22.4333,-151.3333,Le Manotel
526,Camopi,GF,80.24,light rain,3.1655,-52.3158,La pousada
527,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
529,Candolim,IN,78.8,broken clouds,15.5181,73.7626,Resort Terra Paraiso
532,Kupang,ID,74.12,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
533,Dingle,PH,76.75,light rain,10.9995,122.6711,SEGAYA PROPERTY
535,Lleida,ES,88.0,clear sky,41.6167,0.6167,Hotel Ramon Berenguer IV
536,Varzea Da Palma,BR,84.2,clear sky,-17.5981,-44.7308,Casa Fernandes
537,Derzhavinsk,KZ,72.21,overcast clouds,51.1,66.3167,Ooo.khim Baza
538,Stony Plain,CA,73.81,clear sky,53.5334,-114.0021,Travelodge by Wyndham Stony Plain
540,Metro,ID,73.9,clear sky,-5.1131,105.3067,OYO 3177 Wisma Lintang
542,Palora,EC,77.11,overcast clouds,-1.7,-77.9333,Rancho grande
544,Ler,SS,72.37,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
545,Kazerun,IR,87.57,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
551,Isangel,VU,76.17,overcast clouds,-19.55,169.2667,Tanna Lodge
553,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
555,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
556,Kochi,IN,78.78,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
558,Asau,RO,70.72,few clouds,46.4333,26.4,Casa Mika Ciobanus
559,Phalodi,IN,89.89,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
